uid,dt-created,dt-modified,event-dt-begin,event-dt-end,event-location,title,link
"20131108091028","2013-11-08 09:10:28 GMT","2013-11-08 09:12:43 GMT","2014-09-06","2015-01-04","Victoria and Albert Museum, London","Horst: Photographer of Style","http://www.vam.ac.uk/content/exhibitions/exhibition-horst-photographer-of-style/about-the-exhibition/"
"20131209113642","2013-12-09 11:36:42 GMT","2014-03-25 06:57:27 GMT","2014-02-19","2014-05-11","Städel Museum, Frankfurt","Vis-à-vis","http://www.staedelmuseum.de/sm/index.php?StoryID=1923"
"20131212195712","2013-12-12 19:57:12 GMT","2014-10-02 18:44:21 GMT","2014-10-02","2015-01-11","Museum Ludwig, Köln","Ludwig Goes Pop","http://www.museum-ludwig.de/en/exhibitions/ludwig-goes-pop.html"
"20131215141827","2013-12-15 14:18:27 GMT","2014-04-05 08:35:32 GMT","2014-04-05","2014-09-28","Deutsches Glasmalerei-Museum, Linnich","Heinrich Campendonk","http://www.glasmalerei-museum.de/DGML_DE/Ausst_Aktuell.htm"
"20131219111145","2013-12-19 11:11:45 GMT","","2014-03-14","2014-06-22","Zentrum Paul Klee, Bern","The Journey to Tunisia – Klee, Macke, Moilliet","http://www.zpk.org/en/exhibitions/preview/the-journey-to-tunisia-klee-macke-moilliet-657.html"
"20140109091858","2014-01-09 09:18:58 GMT","","2014-06-24","2014-10-05","Museo Nacional del Prado, Madrid","El Greco and Modern Painting","https://www.museodelprado.es/en/exhibitions/exhibitions/at-the-museum/el-greco-y-la-pintura-moderna"
"20140113110633","2014-01-13 11:06:33 GMT","","2014-03-14","2014-07-21","Musée Jacquemart-André, Paris","De Watteau à Fragonard, les fêtes galantes","http://www.musee-jacquemart-andre.com/fr/evenements/watteau-fragonard-fetes-galantes"
"20140113110759","2014-01-13 11:07:59 GMT","","2014-09-12","2015-01-19","Musée Jacquemart-André, Paris","Le Pérugin, Maître de Raphaël","http://www.musee-jacquemart-andre.com/fr/evenements/perugin-maitre-raphael"
"20140113111408","2014-01-13 11:14:08 GMT","2014-09-27 06:50:39 GMT","2014-09-27","2015-03-01","Vitra Design Museum, Weil am Rhein","Alvar Aalto","http://www.design-museum.de/de/ausstellungen/aktuelle-ausstellungen.html"
"20140113111758","2014-01-13 11:17:58 GMT","2014-05-19 07:37:59 GMT","2014-05-18","2014-09-07","Fondation Beyeler, Basel","Gerhard Richter","http://www.fondationbeyeler.ch/ausstellungen/gerhard-richter/einleitung"
"20140113111951","2014-01-13 11:19:51 GMT","2014-09-16 13:36:23 GMT","2014-09-07","2015-01-18","Fondation Beyeler, Basel","Gustave Courbet","http://www.fondationbeyeler.ch/ausstellungen/gustave-courbet/einleitung"
